logblocktime	total	real	mixin	total_14	total_15	total_16	total_17	total_18	real_14	real_15	real_16	real_17	real_18	mixin_14	mixin_15	mixin_16	mixin_17	mixin_18
8.6	370275	139361	3881	78360	32678	42761	118775	97701	75951	31278	29346	2770	16	406	3	502	966	2004
8.7	396121	148648	4188	83197	36284	44518	127281	104841	80624	34820	30166	3020	18	465	2	528	917	2276
8.8	404539	150918	4265	84177	37059	45573	129791	107939	81760	35584	30783	2778	13	514	2	605	817	2327
8.9	414593	153862	4599	85064	38587	46359	133611	110972	82687	37071	31293	2769	42	559	9	609	1049	2373
9.0	433540	158587	4927	87393	40118	48220	141557	116252	84776	38636	32321	2837	17	670	5	723	1016	2513
9.1	443666	159199	5365	89578	38275	49201	147436	119176	86889	36829	32862	2601	18	711	5	740	1123	2786
9.2	440054	155935	5215	88616	36391	48645	147753	118649	85880	34871	32482	2685	17	783	8	788	1118	2518
9.3	451681	156627	5656	88769	36834	49901	153072	123105	85701	35271	32887	2750	18	938	9	839	1325	2545
9.4	481558	164567	6460	92154	39725	52603	162326	134750	89050	38216	34443	2825	33	1030	4	962	1326	3138
9.5	469912	163987	6345	92105	40169	52135	159876	125627	88940	38684	33574	2767	22	1112	19	974	1469	2771
9.6	445441	159616	5850	90920	40263	47545	151809	114904	87502	38720	30702	2665	27	1244	13	1003	1260	2330
9.7	441854	162038	6251	94041	40724	46300	149639	111150	90351	39222	29731	2702	32	1309	14	1035	1604	2289
9.8	425683	161624	6093	94375	41935	43817	143110	102446	90635	40320	28188	2436	45	1489	14	1036	1637	1917
9.9	407254	162202	6051	95520	41464	43800	134826	91644	91649	39858	28077	2575	43	1568	26	1085	1709	1663
10.0	397181	165670	6093	98377	42217	44830	130406	81351	94326	40524	28314	2460	46	1722	26	1140	1679	1526
10.1	374368	169885	6244	101665	43468	44552	119670	65013	97645	41794	27953	2455	38	1810	25	1330	1860	1219
10.2	344717	173079	5597	105253	44016	44600	106430	44418	100635	42396	27710	2280	58	1891	31	1287	1665	723
10.3	329385	182117	5752	108397	49494	46222	98524	26748	103491	47603	28614	2355	54	2200	35	1421	1733	363
10.4	334506	188555	5903	108168	53728	49982	97958	24670	103029	51846	31019	2445	216	2334	30	1531	1743	265
10.5	319672	171522	6386	99366	46961	48715	99466	25164	94126	45234	29428	2451	283	2546	52	1594	1921	273
10.6	294800	151449	6809	90069	39765	44136	98813	22017	84681	38329	26114	2191	134	2772	56	1609	2124	248
10.7	289785	147144	7216	88322	38121	43508	97904	21930	82407	36781	25812	2002	142	3174	47	1596	2129	270
10.8	292040	146945	7395	88101	38326	43476	99087	23050	82033	36999	25631	2014	268	3318	72	1637	2120	248
10.9	300570	149375	7840	89108	40236	43530	103423	24273	82789	38930	25270	1875	511	3649	69	1708	2086	328
11.0	316452	153243	8040	90607	40671	46729	112361	26084	84278	39347	27138	2290	190	3626	79	1772	2249	314
11.1	311966	152000	8401	92366	39877	44500	109422	25801	85756	38579	25582	1965	118	3907	98	1774	2316	306
11.2	309664	153101	8774	94742	40690	42632	106400	25200	87658	39339	24203	1749	152	4174	141	1738	2435	286
11.3	313896	156311	9601	96923	41808	43041	105783	26341	89488	40432	24401	1794	196	4567	114	1826	2771	323
11.4	326431	163700	9490	97162	47545	45347	107763	28614	89394	45943	26320	1883	160	4747	128	1778	2544	293
11.5	308688	153089	9661	93855	41957	44040	100233	28603	85659	40550	24996	1761	123	5158	159	1737	2254	353
11.6	293733	145361	9525	91595	38817	41309	92822	29190	82883	37457	23282	1602	137	5610	185	1688	1708	334
11.7	292792	148315	9527	93003	39564	42986	87030	30209	83897	38267	24232	1798	121	5803	154	1640	1599	331
11.8	292139	151356	9299	96538	39280	44107	81106	31108	86671	37881	25065	1616	123	6358	234	1506	629	572
11.9	284812	149294	9435	96428	40063	41809	76167	30345	86244	38674	22922	1396	58	6676	255	1588	416	500
12.0	302963	157661	10412	99689	44804	44200	80279	33991	88199	43226	24549	1599	88	7381	305	1842	477	407
12.1	294365	145093	11043	94471	39708	42687	82711	34788	82737	38177	22798	1321	60	7764	377	2066	424	412
12.2	302055	142452	11512	92969	38575	42744	89566	38201	81299	37054	22812	1194	93	7942	386	2143	515	526
12.3	307594	142979	11961	94594	38765	42509	92401	39325	82608	37129	22148	1021	73	8154	422	2157	518	710
12.4	311068	146402	12597	95550	41594	43626	93175	37123	82731	39864	22716	1008	83	8690	448	2321	517	621
12.5	301888	139057	12944	93096	37841	42931	91785	36235	80249	36125	21575	1012	96	8768	524	2420	574	658
12.6	306747	137565	13705	92234	36769	45128	95712	36904	78960	35002	22367	979	257	9193	637	2720	571	584
12.7	311896	139523	14742	94484	38626	43935	97801	37050	80283	36759	21344	924	213	9929	677	2940	593	603
12.8	316387	135060	15578	91699	37637	44726	104156	38169	76791	35669	21370	985	245	10482	760	3110	678	548
12.9	315737	131388	16335	90432	36682	44316	105037	39270	75220	34675	20318	984	191	10740	865	3378	729	623
