logblocktime	total	real	mixin	total_14	total_15	total_16	total_17	total_18	real_14	real_15	real_16	real_17	real_18	mixin_14	mixin_15	mixin_16	mixin_17	mixin_18
13.1	6238	5180	61	0	0	6238	0	0	0	0	5180	0	0	0	0	61	0	0
13.2	7660	5611	73	0	0	7660	0	0	0	0	5611	0	0	0	0	73	0	0
13.3	8362	6607	83	0	0	8362	0	0	0	0	6607	0	0	0	0	83	0	0
13.4	9438	6438	97	0	0	9438	0	0	0	0	6438	0	0	0	0	97	0	0
13.5	10527	7325	118	0	0	10527	0	0	0	0	7325	0	0	0	0	118	0	0
13.6	7788	6333	131	0	0	7788	0	0	0	0	6333	0	0	0	0	131	0	0
13.7	10020	8571	153	0	0	10020	0	0	0	0	8571	0	0	0	0	153	0	0
13.8	15191	9924	283	0	0	15191	0	0	0	0	9924	0	0	0	0	283	0	0
13.9	12148	9638	265	0	0	12148	0	0	0	0	9638	0	0	0	0	265	0	0
14.0	13001	9793	282	0	0	13001	0	0	0	0	9793	0	0	0	0	282	0	0
14.1	13305	11014	328	0	0	13305	0	0	0	0	11014	0	0	0	0	328	0	0
14.2	17596	12165	406	0	0	17596	0	0	0	0	12165	0	0	0	0	406	0	0
14.3	15179	12478	449	0	0	15179	0	0	0	0	12478	0	0	0	0	449	0	0
14.4	19923	14678	612	0	0	19923	0	0	0	0	14678	0	0	0	0	612	0	0
14.5	21046	16000	691	0	0	21046	0	0	0	0	16000	0	0	0	0	691	0	0
14.6	23636	18997	838	0	0	23636	0	0	0	0	18997	0	0	0	0	838	0	0
14.7	23603	18880	872	0	0	23603	0	0	0	0	18880	0	0	0	0	872	0	0
14.8	21526	17379	1090	0	0	21526	0	0	0	0	17379	0	0	0	0	1090	0	0
14.9	29239	21697	1266	0	0	29239	0	0	0	0	21697	0	0	0	0	1266	0	0
15.0	37608	24606	1770	0	0	37608	0	0	0	0	24606	0	0	0	0	1770	0	0
15.1	29214	21660	1793	0	0	29214	0	0	0	0	21660	0	0	0	0	1793	0	0
15.2	31454	24909	2011	0	0	31454	0	0	0	0	24909	0	0	0	0	2011	0	0
15.3	28993	22744	1452	0	0	28993	0	0	0	0	22744	0	0	0	0	1452	0	0
15.4	32942	25654	1626	0	0	32942	0	0	0	0	25654	0	0	0	0	1626	0	0
15.5	33268	26257	1603	0	0	33268	0	0	0	0	26257	0	0	0	0	1603	0	0
15.6	44278	33243	2074	0	0	44278	0	0	0	0	33243	0	0	0	0	2074	0	0
15.7	42685	33470	2436	0	0	42685	0	0	0	0	33470	0	0	0	0	2436	0	0
15.8	46509	35880	2845	0	0	46509	0	0	0	0	35880	0	0	0	0	2845	0	0
15.9	47932	37026	3340	0	0	47932	0	0	0	0	37026	0	0	0	0	3340	0	0
16.0	53034	39842	3955	0	0	53034	0	0	0	0	39842	0	0	0	0	3955	0	0
16.1	63855	43953	4745	0	0	63855	0	0	0	0	43953	0	0	0	0	4745	0	0
16.2	73891	47572	5738	0	0	73891	0	0	0	0	47572	0	0	0	0	5738	0	0
16.3	79802	54837	6574	0	0	79802	0	0	0	0	54837	0	0	0	0	6574	0	0
16.4	93683	62170	8485	0	0	93683	0	0	0	0	62170	0	0	0	0	8485	0	0
16.5	104744	70967	11047	0	0	104744	0	0	0	0	70967	0	0	0	0	11047	0	0
16.6	104049	67600	12219	0	0	104049	0	0	0	0	67600	0	0	0	0	12219	0	0
16.7	106901	74111	14512	0	0	106901	0	0	0	0	74111	0	0	0	0	14512	0	0
16.8	125040	82946	18571	0	15170	109870	0	0	0	13776	69170	0	0	0	20	18551	0	0
16.9	142620	92800	21640	0	36087	106533	0	0	0	33131	59669	0	0	0	276	21364	0	0
